OBJECTID,state_number,nhs_rest_stop,highway_route,mile_post,municipality,county,state,latitude,longitude,number_of_spots,x,y
272,12,NHS Rest Stop or Truck Facility 14,I-10W,194,Tallahassee,Leon,FL,30.484995,-84.384926,19,-84.3849259995682,30.4849949999058
273,12,Welcome Center,I-10E,4,Pensacola,Escambia,FL,30.5441,-87.3502,34,-87.3502000000844,30.5441000000191
274,12,Weigh Station,I-10E,4,Pensacola,Escambia,FL,30.5531,-87.3627,39,-87.3626999997707,30.5531000001618
275,12,Weigh Station,I-10W,4,Pensacola,Escambia,FL,30.5539,-87.362,39,-87.362000000162,30.5538999998315
276,12,NHS Rest Stop or Truck Facility 1,I-10E,31,East Milton,Santa Rosa,FL,30.610223,-86.977888,74,-86.9778879996912,30.6102229996356
277,12,NHS Rest Stop or Truck Facility 10,I-10W,31,East Milton,Santa Rosa,FL,30.612393,-86.978384,68,-86.9783839999837,30.6123929998568
278,12,Welcome Center,I-75S,470,Jennings,Hamilton,FL,30.6128,-83.1469,41,-83.1468999996475,30.6127999996581
279,12,NHS Rest Stop or Truck Facility 13,I-10W,162,Hardin Heights,Gadsden,FL,30.6256,-84.8918,43,-84.8917999997806,30.6256000001503
280,12,Weigh Station,I-10E,155,Sneads,Jackson,FL,30.6388,-84.9825,39,-84.9824999996463,30.6387999998881
281,12,Weigh Station,I-10W,155,Sneads,Jackson,FL,30.6398,-84.9829,39,-84.9828999996794,30.6397999999345
282,12,Weigh Station,I-95S,376,Yulee,Nassau,FL,30.669239,-81.668729,30,-81.6687289998755,30.6692389999612
283,12,Weigh Station,I-95N,376,Yulee,Nassau,FL,30.6696,-81.667,30,-81.6669999998718,30.6695999997569
284,12,Welcome Center,I-95S,378,Yulee,Nassau,FL,30.697231,-81.678396,37,-81.6783959997184,30.6972309998679
285,12,NHS Rest Stop or Truck Facility 18,I-10W,96,Ponce De Leon,Holmes,FL,30.713,-85.9303,17,-85.9302999998811,30.7129999999061
286,12,NHS Rest Stop or Truck Facility 2,I-10E,58,Crestview,Okaloosa,FL,30.726386,-86.506766,53,-86.506766000064,30.7263860002354
287,12,NHS Rest Stop or Truck Facility 11,I-10W,60,Crestview,Okaloosa,FL,30.727028,-86.507996,53,-86.5079960003005,30.7270280003086
288,12,NHS Rest Stop or Truck Facility 3,I-10E,133,Jacob,Jackson,FL,30.755395,-85.328503,12,-85.3285029998894,30.755395000121
289,12,NHS Rest Stop or Truck Facility 12,I-10W,133,Cottondale,Jackson,FL,30.757693,-85.322079,24,-85.3220789999689,30.7576929999979
290,12,Welcome Center,US-231S,0,Cambellton,Jackson,FL,30.9947,-85.4091,37,-85.4090999998942,30.9946999998321
