FID,YEAR_,DISTRICT,COSITE,ROADWAY,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,TruckAADT,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,DESC_FRM,DESC_TO,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
19814,2024,3,552628,55320028,2800,F,F,F,W,F,207,0,0.254,9,0,99.9,7.4,509.787,I-10/SR-8 EB,MAHAN DR EB,55,Leon,3,509.787012612875
19815,2024,5,972630,75472000,54900,C,D,D,D,F,8784,0,2.192,9,0,56.3,16,3546.7047,OSCEOLA CO LINE,CENTRAL FLA GREENEWY,75,Orange,8,3546.70473341333
19816,2024,6,970125,87471238,19500,C,F,F,W,F,1424,0,0.056,8,0,99.9,7.3,91.4597,87471240 RAMP,SR 821 NB,87,Miami-Dade,8,91.4596723973704
19817,2024,6,876274,87260334,13500,F,F,F,W,1,608,0,0.061,8,0,99.9,4.5,97.4655,WB SR-826,WB NW 167 ST,87,Miami-Dade,6,97.4654845168719
19818,2024,2,760106,76050000,20300,C,F,F,F,F,853,21.7,23.731,9,0,60.3,4.2,3267.3511,N/A,N/A,76,Putnam,2,3267.35111823639
19819,2024,2,720968,72031000,52000,C,F,F,F,F,1508,0,0.776,8,0,54.9,2.9,1248.4429,SR-115 GORE,72031011 NB OFF,72,Duval,2,1248.44290654
19820,2024,5,758229,75000391,7200,S,F,F,F,F,389,0,0.967,9,0,52.9,5.4,1570.9251,UNIVERSAL BLVD,VINELAND RD,75,Orange,5,1570.92510280645
19821,2024,5,700321,70020000,31000,C,F,F,F,2,1612,1.128,2.888,9,0,53.8,5.2,2831.4112,SR-508/NASA BLVD,BALLARD DR,70,Brevard,5,2831.41115145435
19822,2024,3,555093,55514001,16400,F,F,F,F,A,574,1.237,1.585,9,0,68.8,3.5,561.6356,RUMBA LN,CR-158/W THARPE ST,55,Leon,3,561.635597243981
19823,2024,5,750123,75010000,54000,C,F,F,F,F,3132,5.617,7.062,9,0,52.9,5.8,2326.3598,N/A,SR-482/SAND LAKE RD,75,Orange,5,2326.35979758421
19824,2024,5,798056,79000075,1050,E,F,F,F,F,70,0,0.389,9,0,57.7,6.7,637.7965,S YONGE ST,S BEACH ST,79,Volusia,5,637.796492222734
19825,2024,5,798190,79580000,17100,S,F,F,F,F,1214,10.412,13.091,9,0,57.7,7.1,4311.3828,SR-44,US92/INTL SPWY,79,Volusia,5,4311.38281394743
19826,2024,5,758238,75000401,10200,S,F,F,F,F,551,0,0.249,9,0,52.9,5.4,399.011,DIXIE BELLE DR,SR 436/SEMORAN BLVD,75,Orange,5,399.010980305065
19827,2024,2,726020,72090350,4800,C,F,F,W,F,653,0,0.604,9,0,99.9,13.6,971.9403,PEARL ST,GORE AT 72090153,72,Duval,2,971.940260956144
19828,2024,6,879020,87004000,114500,C,F,F,F,1,4809,1.565,4.921,8,0,50.9,4.2,5399.0827,N/A,SR-907 / ALTON RD,87,Miami-Dade,6,5399.08269064095
19829,2024,5,752323,75320034,1600,C,F,F,W,F,72,0,0.171,8,0,99.9,4.5,275.9109,CR-437 A,SR-429 NB,75,Orange,5,275.910910881784
19830,2024,6,970131,87471249,8800,C,F,F,W,F,642,0,0.24,8,0,99.9,7.3,385.3518,SR 821 NB,SR994/QUAIL ROOST DR,87,Miami-Dade,8,385.351823942335
19831,2024,6,876261,87260357,14500,F,F,F,W,1,1247,0,0.109,8,0,99.9,8.6,174.7515,NB W 20 AVE,NB SR-826,87,Miami-Dade,6,174.751543557506
19832,2024,2,760270,76070000,2600,C,F,F,F,A,143,0,4.176,9.5,0,60.3,5.5,6722.0697,SR-20,BADEN POWELL RD,76,Putnam,2,6722.06973398351
19833,2024,4,860048,86170000,25500,C,F,F,F,2,842,6.932,8.985,9,0,55,3.3,3303.9535,N/A,N/A,86,Broward,4,3303.95349364568
19834,2024,4,867562,86000042,40000,F,F,F,F,F,3280,0,0.993,9,0,53.7,8.2,1597.5208,SR-817/UNIVERSITY DR,N/A,86,Broward,4,1597.52084531825
19835,2024,5,752157,75008028,5100,F,F,F,W,F,230,0,0.055,8,0,99.9,4.5,89.8871,SR 15 /  ANDERSON ST,SR 408 EB,75,Orange,5,89.887106272759
19836,2024,5,970598,75471000,91900,C,D,D,D,F,14704,3.117,4.548,9,0,56.3,16,2305.7841,Bridge No-750091,Bridge No-750093,75,Orange,8,2305.78413129663
19837,2024,5,792040,79002051,3400,S,F,F,W,2,262,0,0.319,9,0,99.9,7.7,511.6052,OLD DIXIE HWY,I-95 SB/SR-9,79,Volusia,5,511.605230027762
19838,2024,6,870324,87002000,34500,C,F,F,F,A,3140,0,1.263,9,0,54.9,9.1,2033.5754,SR 25/OKEECHOBEE RD,W 29 ST,87,Miami-Dade,6,2033.57536860398
19839,2024,6,876255,87260408,14500,S,F,F,W,2,4278,0,0.116,8,0,99.9,29.5,196.676,SR-826/PALMETTO,US-27/SR-25/OKEECHOB,87,Miami-Dade,6,196.676044380981
19840,2024,6,970162,87471253,22000,C,F,F,W,F,1606,0,1.596,8,0,99.9,7.3,2566.8718,SW 117TH AVENUE,SR 821 NB,87,Miami-Dade,8,2566.87177552396
19841,2024,6,876228,87260378,10000,C,F,F,W,A,260,0,0.147,8,0,99.9,2.6,234.918,WB SW 24 ST,SB SR-826,87,Miami-Dade,6,234.917997537546
19842,2024,2,760045,76110000,10900,C,F,F,F,F,1537,19.59,20.583,9,0,60.3,14.1,1599.2423,CR-216,SR-19,76,Putnam,2,1599.24226838199
19843,2024,3,552629,55320029,3000,F,F,F,W,F,222,0,0.253,9,0,99.9,7.4,503.6443,I-10/SR-8 WB,MAHAN DR WB,55,Leon,3,503.644269612581
19844,2024,5,752200,75008189,6100,F,F,F,W,F,275,0,0.316,8,0,99.9,4.5,499.728,SR-408 WB,HIAWASSEE RD,75,Orange,5,499.727985644241
19845,2024,4,864044,86070039,20000,F,F,F,W,F,760,0,0.278,8,0,99.99,3.8,443.7556,SB SR-9/I-95,N/A,86,Broward,4,443.755637580899
19846,2024,6,876040,87005041,5700,C,F,F,W,A,479,0,0.238,8,0,99.9,8.4,390.5837,SR-94 / KENDALL DR,SB SR-874,87,Miami-Dade,6,390.583664421167
19847,2024,6,878495,87000342,550,S,F,F,W,F,29,0.122,0.42,9,0,99.9,5.3,480.2064,NW 66 AVE,NW 41 ST/LAFAYETTE,87,Miami-Dade,6,480.206421200138
19848,2024,4,867037,86013502,6400,F,F,F,W,F,525,0.103,0.743,9,0,99.9,8.2,1029.848,SE 9 ST,SR-858/HALLANDALE BL,86,Broward,4,1029.84797505448
19849,2024,4,865316,86004000,39000,F,F,F,F,1,1482,9.475,10.488,9,0,53.7,3.8,1628.4285,I-595 EB,N/A,86,Broward,4,1628.42847633149
19850,2024,4,869713,86000014,10600,F,F,F,F,F,869,3.339,4.855,9,0,53.7,8.2,2433.9123,N/A,NOB HILL RD,86,Broward,4,2433.91225918134
19851,2024,5,700377,70070000,47500,C,F,F,F,F,3183,5.212,5.627,9,0,53.8,6.7,667.6576,SR-528,N/A,70,Brevard,5,667.657590705517
19852,2024,5,752329,75340004,3100,C,F,F,W,F,140,0,0.051,8,0,99.9,4.5,86.8052,SR-500,75340003 NB OFF,75,Orange,5,86.8052433277236
19853,2024,6,872278,87005000,108500,C,F,F,F,A,7053,4.595,7.01,9,0,62.7,6.5,3892.8905,N/A, SR 826 NB,87,Miami-Dade,6,3892.89046578487
19854,2024,6,878491,87000334,4800,S,F,F,F,F,206,0,1.531,9,0,52.7,4.3,2460.1714,NW 32 AVE,NW 17 AVE,87,Miami-Dade,6,2460.17135985655
19855,2024,6,876277,87260337,11500,F,F,F,W,1,334,0,0.073,8,0,99.9,2.9,117.5947,WB NW 167 ST,WB SR-826,87,Miami-Dade,6,117.594702569099
19856,2024,6,871142,87053000,47500,C,F,F,F,A,3800,0,0.733,9,0,52.7,8,1181.0595,W 87 AVE,W 79 AVE,87,Miami-Dade,6,1181.05945613161
19857,2024,4,860025,86170000,24000,F,F,F,F,F,912,6.735,6.932,9,0,55,3.8,317.0146,DIXIE HWY SB,N/A,86,Broward,4,317.0146017131
19858,2024,4,864308,86095165,3900,F,F,F,W,F,281,0,0.477,8,0,99.9,7.2,771.9105,RAMP 86095166,SR-91 REV LANES,86,Broward,4,771.910472877198
19859,2024,5,752161,75008032,6600,F,F,F,W,F,297,0,0.068,8,0,99.9,4.5,109.9038,SR15/LK UNDERHILL RD,SR 408 EB,75,Orange,5,109.903832711305
19860,2024,5,970620,75471000,104000,C,D,D,D,F,16640,0.864,1.905,9,0,56.3,16,1677.2748,Bridge No-750088,Bridge No-750089,75,Orange,8,1677.27477500781
19861,2024,4,865037,86010000,44500,C,F,F,F,A,1558,5.462,5.948,9,0,55.8,3.5,780.861,N/A,N/A,86,Broward,4,780.8609795386
19862,2024,4,864065,86070065,19000,F,F,F,W,F,874,0,0.328,8,0,99.99,4.6,518.1212,SR-814/ATLANTIC BLVD,SB I-95,86,Broward,4,518.121184438169
19863,2024,5,797063,79000043,7800,F,F,F,F,1,1186,0,2.827,9,0,57.7,15.2,4550.0622,BERESFORD AVE,INT'L SPEEDWAY BLVD,79,Volusia,5,4550.0621907725
19864,2024,2,724266,72040335,550,C,F,F,W,F,75,0,0.061,8,0,99.9,13.6,100.8002,GORE AT SR-109 NB,GORE AT ARLINGTON EX,72,Duval,2,100.800192109617
19865,2024,5,707071,70013000,40000,C,F,F,F,A,2360,0,2.125,9,0,53.8,5.9,3417.1519,TARGET EXIT,N/A,70,Brevard,5,3417.15194120928
19866,2024,3,553053,55520000,4600,F,F,F,F,1,386,6.151,8.33,9,0,66.1,8.4,3508.4963,AIRPORT,SR-263/CAPITAL CIR,55,Leon,3,3508.49632831491
19867,2024,3,550386,55300000,1950,F,F,F,F,A,353,0,14.159,9.5,0,66.1,18.1,22792.7715,SR-20/SR-267,WAKULLA CO LINE,55,Leon,3,22792.7715017604
19868,2024,6,878214,87000468,9200,S,F,F,F,F,1546,0,2.419,9,0,52.7,16.8,3905.0042,S DIXIE HWYUS-1/SR5/,SR-968/W FLAGLER ST,87,Miami-Dade,6,3905.00419734243
19869,2024,6,878282,87045501,39500,F,F,F,F,F,6636,1.003,2,9,0,52.7,16.8,1599.7953,N/A,SW 87 AVE,87,Miami-Dade,6,1599.79526192565
19870,2024,4,860425,86170000,20300,C,F,F,F,1,568,1.833,2.336,9,0,55,2.8,809.4085,N/A,N/A,86,Broward,4,809.408486783934
19871,2024,2,724320,72090372,700,C,F,F,W,F,95,0,0.14,8,0,99.9,13.6,230.878,GORE AT EMERSON EXP,GORE AT BEACH BLVD,72,Duval,2,230.878035230996
19872,2024,6,876397,87003020,12000,S,F,F,W,2,2196,0,0.272,8,0,99.9,18.3,433.805,SR-948/NW 36 ST,SR-112,87,Miami-Dade,6,433.804963494369
19873,2024,5,752324,75320101,6900,F,F,F,W,F,311,0,1.223,8,0,99.9,4.5,1962.3124,SR-414 WB,SR-429 SB,75,Orange,5,1962.31235213033
19874,2024,6,970013,87471105,7300,C,F,F,W,F,533,0,0.134,8,0,99.9,7.3,215.4259,SR 821 SB,US 1/SOUTH DIXIE HWY,87,Miami-Dade,8,215.425875626428
19875,2024,6,878526,87000455,10100,F,F,F,F,F,434,0,0.4,9,0,52.7,4.3,656.1038,BAYSHORE DR,SR-5/US-1/DIXIE HWY,87,Miami-Dade,6,656.103811658048
19876,2024,6,870044,87047000,35500,C,F,F,F,A,533,7.995,8.519,9,0,52.7,1.5,843.1465,US 41/SR 90/SW 8 ST,SR 968/W FLAGLER ST,87,Miami-Dade,6,843.146528336901
19877,2024,4,860008,86120000,59500,C,F,F,F,2,2916,5.36,6.281,9,0,55,4.9,1481.1933,I-95 SB,N/A,86,Broward,4,1481.19327831624
19878,2024,4,867615,86000047,30500,F,F,F,F,F,2501,1.058,2.066,9,0,53.7,8.2,1622.1073,NW 44 ST,SR-870/COMMERCIAL BL,86,Broward,4,1622.10733972006
19879,2024,5,752167,75008041,13000,V,F,F,W,F,585,0,0.598,8,0,99.9,4.5,962.0229,SR-408 WB,I-4 EB,75,Orange,5,962.02290811523
19880,2024,5,972672,75470167,13000,C,F,F,W,F,2587,0,0.453,8,0,99.9,19.9,715.1793,75470160 RAMP,75470164 RAMP,75,Orange,8,715.179309942853
19881,2024,5,792030,79002070,1200,S,F,F,W,F,152,0,0.361,9,0,99.9,12.7,580.7458,LPGA BLVD,I-95/SR-9,79,Volusia,5,580.745819243068
19882,2024,6,876011,87003013,7400,C,F,F,W,A,1221,0,0.07,8,0,99.9,16.5,112.5059,SR-112/WB,NW 41 ST/WB,87,Miami-Dade,6,112.505862306863
19883,2024,4,864056,86070056,16000,F,F,F,W,F,624,0,0.198,8,0,99.99,3.9,325.7888,SB I-95,SR-870/COMMERCIAL BL,86,Broward,4,325.788813961259
19884,2024,5,778006,77000010,13400,C,F,F,F,F,938,0,2.394,9,0,52.3,7,3851.413,SR436/E ALTAMONTE DR,SR-434,77,Seminole,5,3851.41300468008
19885,2024,2,726023,72040332,150,C,F,F,W,F,20,0,0.102,9,0,99.99,13.6,164.3947,GORE AT ATLANTIC BLV,ARNOLD BLVD,72,Duval,2,164.394725363339
19886,2024,5,705206,70011000,19200,F,F,F,F,1,883,2.235,3.358,9,0,53.8,4.6,1801.1572,MICHIGAN AVE,SR-524,70,Brevard,5,1801.15715073468
19887,2024,5,700384,70020000,24500,F,F,F,F,1,1103,29.869,33.565,9,0,53.8,4.5,5945.9306,FAY BLVD,N/A,70,Brevard,5,5945.93057732703
19888,2024,6,878196,87000429,43000,E,F,F,F,F,3354,0,0.5,9,0,54.9,7.8,792.7035,NW 107 AVE,NW 102 AVE,87,Miami-Dade,6,792.703508353661
19889,2024,4,860165,86010000,15000,C,F,F,F,A,390,2.465,2.72,9,0,99.9,2.6,409.641,SPUR,N/A,86,Broward,4,409.641040640908
19890,2024,2,720736,72120000,13000,C,F,F,F,F,1001,2.958,6.911,9,0,54.9,7.7,6369.1801,PINE ST,YELLOWWATER RD,72,Duval,2,6369.18006012078
19891,2024,2,723020,72150000,31500,F,F,F,F,F,756,4.124,5.767,9,0,54.9,2.4,2643.2155,SOUTEL DR,LEONID RD,72,Duval,2,2643.21549543561
19892,2024,5,792024,79002036,2700,S,F,F,W,F,178,0,0.197,9,0,99.9,6.6,317.0399,US 92 / SR 600 EB,79002112 SB CD,79,Volusia,5,317.039911959952
19893,2024,4,864036,86070150,9500,F,F,F,W,F,770,0,0.303,8,0,99.99,8.1,500.0796,SB SR-9/I-95,EB SR-84,86,Broward,4,500.079620116807
19894,2024,6,876252,87260405,20500,F,F,F,W,1,2214,0,0.165,8,0,99.9,10.8,263.2775,SR-826/PALMETTO,US-27/SR-25/OKEECHOB,87,Miami-Dade,6,263.277470335017
19895,2024,5,798021,79000028,900,C,F,F,F,A,194,0,1.259,9,0,57.7,21.6,2026.6442,SR-15A,N WOODLAND BLVD,79,Volusia,5,2026.64415881226
19896,2024,6,876247,87260399,15500,F,F,F,W,1,2527,0,0.237,8,0,99.9,16.3,382.5793,SB SR 826,NW 74 ST,87,Miami-Dade,6,382.579321749195
19897,2024,2,760041,76110000,7400,C,F,F,F,F,1043,6.286,16.96,9.5,0,60.3,14.1,17190.1299,MAGNOLIA AVE,N/A,76,Putnam,2,17190.129945932
19898,2024,3,555096,55503500,7700,F,F,F,F,A,270,0,1.912,9,0,66.1,3.5,3072.9165,MISSION RD,HIGH RD,55,Leon,3,3072.91654180686
19899,2024,4,864153,86070147,7700,F,F,F,W,F,293,0,0.291,8,0,99.99,3.8,466.2059,RAMP 86070038,RAMP 86095056,86,Broward,4,466.205874988932
19900,2024,4,860254,86100000,48000,C,F,F,F,A,1104,15.392,15.787,9,0,55,2.3,635.7842,N/A,N/A,86,Broward,4,635.78422003049
19901,2024,5,752174,75008078,6300,F,F,F,W,F,284,0,0.192,9.5,0,99.9,4.5,309.2324,SR 408 WB,JOHN YOUNG PKWY,75,Orange,5,309.232393365636
19902,2024,6,878508,87000407,14000,F,F,F,F,F,602,0,1.227,9,0,52.7,4.3,1980.9986,PONCE DE LEON BLVD,MAIN HWY,87,Miami-Dade,6,1980.99858223642
19903,2024,4,860466,86014000,38000,C,F,F,F,2,912,8.277,8.762,9,0,55,2.4,780.334,NE 18 AVE,N/A,86,Broward,4,780.333961595549
19904,2024,4,869691,86004000,29500,F,F,F,F,2,856,23.557,23.83,9,0,53.7,2.9,438.9001,SPUR FROM 86427023,N/A,86,Broward,4,438.900068335113
19905,2024,2,726024,72190300,450,F,F,F,W,F,61,0,0.52,9,0,99.99,13.6,851.9836,GORE BEACH BLVD EB,GORE BEACH BLVD WB,72,Duval,2,851.983560914838
19906,2024,5,758399,75500381,3800,S,F,F,F,F,205,0,1.63,9.5,0,52.9,5.4,2632.5457,INNOVATION WAY,END OF ROAD,75,Orange,5,2632.54574959143
19907,2024,4,867079,86033503,16400,F,F,F,F,F,1345,0,0.321,9,0,55,8.2,518.3068,SR870/COMMERCIAL BLV,NE 53 CT,86,Broward,4,518.306829504588
19908,2024,3,555027,55020000,27500,F,F,F,F,F,798,0.216,0.509,9,0,66.1,2.9,471.7606,MERIDIAN,CR-1555/FRANKLIN BLV,55,Leon,3,471.760577185575
